zipcode,state,income
70508,louisiana,80262
70127,louisiana,28283
75948,texas,40938
70607,louisiana,45275
77515,texas,76282
75929,texas,59375
75946,texas,58833
70631,louisiana,66518
79936,texas,58096
79108,texas,55827
79043,texas,44554
79912,texas,66742
71961,arkansas,39268
75965,texas,48527
75972,texas,42279
35079,alabama,77500
57103,southdakota,67970
78577,texas,39490
79401,texas,18585
70601,louisiana,44108
77845,texas,83361
79905,texas,23060
70762,louisiana,65741
78620,texas,118145
79065,texas,50077
77627,texas,77679
72165,arkansas,40625
58554,northdakota,77356
75966,texas,39310
77701,texas,40912
79235,texas,49926
70634,louisiana,58380
78382,texas,52705
79605,texas,51676
67846,kansas,60807
78416,texas,40981
75007,texas,96051
77630,texas,58607
75444,texas,not_found
78750,texas,108686
70601,louisiana,44108
64052,missouri,47833
77338,texas,61135
70435,louisiana,79625
14609,newyork,53422
77359,texas,42381
74132,oklahoma,64932
77364,texas,48083
77632,texas,77500
77304,texas,70533
75608,texas,not_found
38754,mississippi,38088
78664,texas,80403
77705,texas,46751
70508,louisiana,80262
77488,texas,51789
77979,texas,62054
77340,texas,39133
77657,texas,79871
78503,texas,40012
75181,texas,97061
71446,louisiana,53012
74547,oklahoma,46823
77979,texas,62054
78572,texas,48288
33611,florida,68602
70726,louisiana,71910
70645,louisiana,77986
39563,mississippi,43859
77575,texas,46893
78616,texas,64423
78550,texas,41961
78521,texas,35318
77707,texas,57114
78586,texas,38489
97801,oregon,64176
75956,texas,42904
70529,louisiana,59167
70634,louisiana,58380
75901,texas,52531
78076,texas,34789
78520,texas,42484
79927,texas,41526
72120,arkansas,67133
75935,texas,49338
32615,florida,65588
71446,louisiana,53012
75964,texas,52825
75904,texas,54624
71429,louisiana,44356
70656,louisiana,45625
75951,texas,41003
68106,nebraska,65635
77901,texas,47375
77642,texas,40227
78028,texas,59802
75670,texas,37478
76018,texas,75962
76437,texas,57006
78521,texas,35318
78501,texas,43679
78046,texas,46845
73533,oklahoma,53605
64153,missouri,79167
76511,texas,54286
77414,texas,49680
19046,pennsylvania,105846
77084,texas,69857
77511,texas,68226
78572,texas,48288
74055,oklahoma,79189
77808,texas,73738
99687,alaska,not_found
78574,texas,39413
78504,texas,68024
36016,alabama,48289
70121,louisiana,52298
70634,louisiana,58380
77494,texas,137275
70607,louisiana,45275
78224,texas,50242
27959,northcarolina,74256
78852,texas,45029
75904,texas,54624
78660,texas,98610
78837,texas,52646
78648,texas,52429
77069,texas,65620
79313,texas,51111
78251,texas,69346
78415,texas,49255
78501,texas,43679
81504,colorado,58308
75965,texas,48527
78516,texas,40583
78577,texas,39490
78573,texas,42279
75964,texas,52825
71105,louisiana,58664
70605,louisiana,81404
75686,texas,51239
85298,arizona,129277
79936,texas,58096
75801,texas,48215
71263,louisiana,39063
78249,texas,73875
39564,mississippi,62455
70611,louisiana,92860
78102,texas,49731
78754,texas,83043
70122,louisiana,41309
78133,texas,70949
75654,texas,61134
32541,florida,84319
54720,wisconsin,62645
78521,texas,35318
75757,texas,72015
78586,texas,38489
79905,texas,23060
77360,texas,53750
74115,oklahoma,38125
56073,minnesota,64466
78577,texas,39490
78521,texas,35318
46806,indiana,34902
75941,texas,52816
75930,texas,34792
75949,texas,43954
37380,tennessee,45333
77084,texas,69857
77449,texas,77171
78641,texas,112267
77707,texas,57114
77701,texas,40912
78727,texas,91375
75951,texas,41003
71834,arkansas,57507
27704,northcarolina,53831
78414,texas,87231
70607,louisiana,45275
28210,northcarolina,79403
77044,texas,85300
77013,texas,39575
77845,texas,83361
71463,louisiana,44628
78389,texas,35189
23803,virginia,49302
78254,texas,106984
78380,texas,54596
75972,texas,42279
39657,mississippi,27822
78418,texas,80906
75426,texas,36719
78557,texas,39504
78576,texas,31132
77657,texas,79871
78724,texas,58631
77511,texas,68226
76020,texas,80840
76010,texas,38419
70653,louisiana,56190
78526,texas,62912
78374,texas,82124
78539,texas,62730
98404,washington,62741
75605,texas,66858
75760,texas,67778
79936,texas,58096
70570,louisiana,42391
75961,texas,37540
73084,oklahoma,43110
75965,texas,48527
77389,texas,133418
76539,texas,74949
77651,texas,78467
79938,texas,64239
70507,louisiana,63125
78749,texas,112813
78552,texas,54586
78520,texas,42484
